lens_id,doc_key,residence,extracted_name,extracted_address,nimi,id
105-207-187-661-461,US_20210107834_A1_20210415,US,SOLIDIA TECHNOLOGIES INC,,SOLIDIA TECHNOLOGIES INC,
106-005-016-737-223,KR_102288279_B1_20210812,KR,CQR CO LTD,,CQR CO LTD,
106-005-016-737-223,KR_102288279_B1_20210812,KR,KAWG EUN GU,,KAWG EUN GU,
106-297-890-102-010,WO_2019117415_A1_20190620,KR,RES INST IND SCIENCE & TECH,,RES INST IND SCIENCE & TECH,
106-693-944-060-165,CN_115536357_A_20221230,,UNIV NANJING TECH,,UNIV NANJING TECH,
106-693-944-060-165,CN_115536357_A_20221230,,ZHONGKE ZHIGAN NANJING ENVIRONMENTAL TECH CO LTD,,ZHONGKE ZHIGAN NANJING ENVIRONMENTAL TECH CO LTD,
106-693-944-060-165,CN_115536357_A_20221230,,NANJING ZHIMA ENVIRONMENTAL TECH CO LTD,,NANJING ZHIMA ENVIRONMENTAL TECH CO LTD,
106-800-370-086-286,US_10737980_B2_20200811,US,ROMAN CEMENT LLC,,ROMAN CEMENT LLC,
107-203-790-737-189,CN_106082913_A_20161109,,MAANSHAN JINHAN WATERPROOF INSULATION ENG CO LTD,,MAANSHAN JINHAN WATERPROOF INSULATION ENG CO LTD,
107-706-968-641-016,EP_2870107_B1_20180117,DE,LANXESS DEUTSCHLAND GMBH,,LANXESS DEUTSCHLAND GMBH,
107-707-440-536-511,CN_115215625_A_20221021,,UNIV HEBEI ENGINEERING,,UNIV HEBEI ENGINEERING,
107-707-440-536-511,CN_115215625_A_20221021,,CHINA RAILWAY CONSTRUCTION GROUP BUILDING DEV CO LTD,,CHINA RAILWAY CONSTRUCTION GROUP BUILDING DEV CO LTD,
107-707-440-536-511,CN_115215625_A_20221021,,TANGSHAN ZHUONENG BUILDING MATERIAL TECH CO LTD,,TANGSHAN ZHUONENG BUILDING MATERIAL TECH CO LTD,
107-707-440-536-511,CN_115215625_A_20221021,,TIANJIN TIANXING FUDA TECH CO LTD,,TIANJIN TIANXING FUDA TECH CO LTD,
108-806-136-819-277,WO_2016025963_A1_20160218,US,BARON INVEST LLC,,BARON INVEST LLC,
108-839-131-261-826,WO_2021072184_A1_20210415,US,SOLIDIA TECHNOLOGIES INC,,SOLIDIA TECHNOLOGIES INC,
109-012-531-756-765,CN_111675231_A_20200918,,CHONGQING MINGDAO ENVIRONMENTAL PROTECTION TECH CO LTD,,CHONGQING MINGDAO ENVIRONMENTAL PROTECTION TECH CO LTD,
109-832-351-448-339,KR_101977583_B1_20190515,KR,GK TECH INSTITUTE CO LTD,,GK TECH INSTITUTE CO LTD,
110-114-893-480-834,EP_3994108_A1_20220511,TW,SHIN CHUANG TECH CO LTD,,SHIN CHUANG TECH CO LTD,
110-123-000-179-329,CA_3052715_A1_20180907,DE,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
110-232-271-737-209,EP_2647610_A2_20131009,JP,NICHIHA KK,,NICHIHA KK,
111-359-620-578-15X,CN_111960762_B_20220913,,河南德恒再生资源有限公司,,河南德恒再生资源有限公司,
111-619-960-568-730,CN_108069670_A_20180525,,HUNAN HENGKAI ENVIRONMENT TECH INVESTMENT CO LTD,,HUNAN HENGKAI ENVIRONMENT TECH INVESTMENT CO LTD,
112-513-578-262-125,RU_2019127192_A_20210401,,ФЛЮОРХЕМИ ГМБХ ФРАНКФУРТ,,ФЛЮОРХЕМИ ГМБХ ФРАНКФУРТ,
112-781-687-864-396,CN_106365674_A_20170201,,UNIV ANHUI TECHNOLOGY,,UNIV ANHUI TECHNOLOGY,
113-684-954-523-249,WO_2020089789_A1_20200507,IL,SELIVANSKY DROR,,SELIVANSKY DROR,
113-781-304-629-679,KR_102199284_B1_20210108,KR,ILL WOO PPC CO LTD,,ILL WOO PPC CO LTD,
113-827-032-554-722,KR_20150012888_A_20150204,,,,,
114-585-536-923-250,US_8785808_B2_20140722,US,FORET PLASMA LABS LLC,,FORET PLASMA LABS LLC,
114-954-857-146-190,CN_115417632_A_20221202,,UNIV ANHUI JIANZHU,,UNIV ANHUI JIANZHU,
115-234-920-620-141,NO_3083089_T3_20180210,,,,,
115-543-714-086-872,CN_113105137_A_20210713,,UNIV CHONGQING,,UNIV CHONGQING,
115-543-714-086-872,CN_113105137_A_20210713,,XINZHONGTIAN ENVIRONMENTAL PROT ENGINEERING CHONGQING CO LTD,,XINZHONGTIAN ENVIRONMENTAL PROT ENGINEERING CHONGQING CO LTD,
115-655-329-705-848,EP_3467045_A4_20190619,CN,JIANGSU TIANNUO ROAD MATERIALS TECH CO LTD,,JIANGSU TIANNUO ROAD MATERIALS TECH CO LTD,
116-177-328-192-684,CN_114560661_A_20220531,,UNIV SOUTHEAST,,UNIV SOUTHEAST,
119-435-398-317-700,IN_10774DEN2014_A_20150904,DE,LANXESS DEUTSCHLAND GMBH,Kennedyplatz 1 50569 Köln,LANXESS DEUTSCHLAND GMBH,
119-599-424-206-897,US_20150273434_A1_20151001,DE,K & S KALI GMBH,,K & S KALI GMBH,
120-063-510-343-329,US_20200010364_A1_20200109,DE,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
120-071-190-086-262,CN_106830779_B_20190402,,重庆腾通工业设计有限公司,,重庆腾通工业设计有限公司,
120-228-273-192-397,RU_2015147932_A_20170516,,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Калмыцкий государственный университет""",,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Калмыцкий государственный университет""",
120-292-337-007-311,EA_201270796_A1_20131030,,НИТИХА КОРПОРЕЙШН,,НИТИХА КОРПОРЕЙШН,
121-157-717-527-508,UY_37784_A_20190131,FI,UPM KYMMENE CORP,,UPM KYMMENE CORP,
121-556-650-026-829,CN_108456542_A_20180828,,HENAN HUANENGGONGSHENG ENVIRONMENTAL PROTECTION TECH CO LTD,,HENAN HUANENGGONGSHENG ENVIRONMENTAL PROTECTION TECH CO LTD,
121-857-227-920-03X,CN_110697740_A_20200117,,JIANGXI FEIYU NEW ENERGY TECH CO LTD,,JIANGXI FEIYU NEW ENERGY TECH CO LTD,
123-606-737-541-626,US_20200038924_A1_20200206,DE,GRONHOLZ CLAUS,,GRONHOLZ CLAUS,
123-606-737-541-626,US_20200038924_A1_20200206,DE,TARTECH ECO IND AG,,TARTECH ECO IND AG,
123-820-745-398-740,JP_6925864_B2_20210825,,株式会社東芝,,株式会社東芝,
123-820-745-398-740,JP_6925864_B2_20210825,,東芝エネルギーシステムズ株式会社,,東芝エネルギーシステムズ株式会社,
124-674-056-997-901,CN_110104977_A_20190809,,LIN GUANGCHENG,,LIN GUANGCHENG,
124-674-056-997-901,CN_110104977_A_20190809,,GUANGDONG TAUGHNESS CONVEYOR BELTING CO LTD,,GUANGDONG TAUGHNESS CONVEYOR BELTING CO LTD,
125-135-544-756-756,CN_114804807_A_20220729,,ORIENTAL YUHONG SAND POWDER TECH GROUP CO LTD,,ORIENTAL YUHONG SAND POWDER TECH GROUP CO LTD,
125-229-641-464-461,CN_102292389_B_20131030,,GRACE W R & CO,,GRACE W R & CO,
125-229-641-464-461,CN_102292389_B_20131030,,NIPPON CATALYTIC CHEM IND,,NIPPON CATALYTIC CHEM IND,
125-672-056-706-737,CN_113582632_B_20220517,,深圳市思力佳化工建材有限公司,,深圳市思力佳化工建材有限公司,
125-710-673-088-668,CN_108273826_A_20180713,,SHUI XIN,,SHUI XIN,
126-791-697-386-807,US_20190271157_A1_20190905,US,BUILDTECH SOLUTIONS LLC,,BUILDTECH SOLUTIONS LLC,
127-366-450-881-231,CN_107311558_A_20171103,,UNIV CHINA THREE GORGES CTGU,,UNIV CHINA THREE GORGES CTGU,
127-402-931-740-654,WO_2019217919_A1_20191114,US,ASH MAN ENGINEERING INC,,ASH MAN ENGINEERING INC,
127-682-417-740-511,US_20170369376_A1_20171228,IN,KANDHARI HARISH,,KANDHARI HARISH,
128-536-443-931-208,EP_2379630_B1_20200219,US,GCP APPLIED TECH INC,,GCP APPLIED TECH INC,
128-536-443-931-208,EP_2379630_B1_20200219,JP,NIPPON CATALYTIC CHEM IND,,NIPPON CATALYTIC CHEM IND,
129-075-727-774-563,KR_101295686_B1_20130814,,,,,
129-320-168-431-316,AU_2012278447_A1_20140227,,LEE SE-LIN,,LEE SE-LIN,
129-408-211-413-057,MY_160187_A_20170228,CN,QIHUI LIAN,,QIHUI LIAN,
131-878-510-347-14X,CN_109020326_A_20181218,,CHONGQING JUWEI ENERGY SAVING BUILDING MAT CO LTD,,CHONGQING JUWEI ENERGY SAVING BUILDING MAT CO LTD,
131-975-612-471-445,CN_107445515_A_20171208,,FUJIAN ZHENGFENG NC TECH CO LTD,,FUJIAN ZHENGFENG NC TECH CO LTD,
132-738-753-521-482,CN_113716927_A_20211130,,SHENZHEN YITAIZHONGHE TECH CO LTD,,SHENZHEN YITAIZHONGHE TECH CO LTD,
133-236-674-169-499,US_20210355031_A1_20211118,US,GCP APPLIED TECH INC,,GCP APPLIED TECH INC,
133-431-173-191-034,US_8820007_B2_20140902,US,KNUDSEN N ERIC,,KNUDSEN N ERIC,
134-265-407-126-725,WO_2020245506_A1_20201210,FI,BETOLAR OY,,BETOLAR OY,
135-331-333-576-596,BR_PI0913567_A2_20161101,MX,PYM FRANCISCO ANDRES ALFONSIN,"AVENIDA FRANCISCO I. MADERO, 1419 MARIA DE LA PIEDAD MEXICO MX",PYM FRANCISCO ANDRES ALFONSIN,
135-331-333-576-596,BR_PI0913567_A2_20161101,MX,LOPEZ GUILLERMO CHAVERO,MX,LOPEZ GUILLERMO CHAVERO,
136-543-138-580-654,US_10994995_B2_20210504,KR,KOREA INST SCI & TECH,,KOREA INST SCI & TECH,
136-760-875-782-652,CN_115073099_A_20220920,,GUANGZHOU TRAFFIC DESIGN RES INSTITUTE CO LTD,,GUANGZHOU TRAFFIC DESIGN RES INSTITUTE CO LTD,
136-760-875-782-652,CN_115073099_A_20220920,,UNIV SOUTH CHINA TECH,,UNIV SOUTH CHINA TECH,
138-372-420-667-947,US_20170274489_A1_20170928,US,BARON INVEST LLC,,BARON INVEST LLC,
138-372-420-667-947,US_20170274489_A1_20170928,US,BARON INVEST LLC,,BARON INVEST LLC,
138-427-275-176-740,BR_102018014587_B1_20200728,BR,GED - INOVACAO ENGENHARIA & TECNOLOGIA LTDA,,GED - INOVACAO ENGENHARIA & TECNOLOGIA LTDA,
138-626-920-839-095,CN_115304343_B_20230519,,上海瑞泰同舟建材有限公司,,上海瑞泰同舟建材有限公司,
138-626-920-839-095,CN_115304343_B_20230519,,瑞泰环保装备有限公司,,瑞泰环保装备有限公司,
138-668-482-022-565,CN_105598129_A_20160525,,NANJING QIAOXING ENV PROT EQUIPMENT MAT CO LTD,,NANJING QIAOXING ENV PROT EQUIPMENT MAT CO LTD,
139-901-735-957-41X,MX_2020004093_A_20201209,US,GLASS PROC SOLUTIONS LLC D/B/A/ SIONNER,,GLASS PROC SOLUTIONS LLC D/B/A/ SIONNER,
140-029-659-738-616,WO_2021119769_A1_20210624,BR,SAMARCO MINERACAO SA,,SAMARCO MINERACAO SA,
140-645-670-052-622,CN_112408925_B_20220401,,中国环境科学研究院,,中国环境科学研究院,
141-915-751-286-141,CZ_307907_B6_20190807,CZ,UNIV V LIBERCI TECCH,,UNIV V LIBERCI TECCH,
141-943-284-567-232,ES_2827124_A1_20210519,ES,UNIV JAEN,,UNIV JAEN,
141-943-284-567-232,ES_2827124_A1_20210519,ES,CONSEJO SUPERIOR INVESTIGACION,,CONSEJO SUPERIOR INVESTIGACION,
142-270-914-924-875,MY_186303_A_20210707,DE,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
142-476-205-197-437,WO_2019094371_A1_20190516,US,DIAMOND PRODUCTS LTD,,DIAMOND PRODUCTS LTD,
143-324-308-513-264,KR_20160070390_A_20160620,KR,KIM KOU YONG,,KIM KOU YONG,
143-330-471-456-74X,US_10190004_B2_20190129,AU,SKUDO GROUP PTY LTD,,SKUDO GROUP PTY LTD,
143-598-761-527-89X,US_20220274876_A1_20220901,US,UNIV MICHIGAN REGENTS,,UNIV MICHIGAN REGENTS,
144-551-933-830-480,UA_125518_C2_20220413,PL,SYNTHOS SA,,SYNTHOS SA,
144-767-154-909-31X,CN_113402231_A_20210917,,WUHAN SHENGDA CHANGQING BUILDING MAT CO LTD,,WUHAN SHENGDA CHANGQING BUILDING MAT CO LTD,
145-854-158-438-692,BR_102019014217_A2_20210119,BR,INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE,,INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE,
145-854-158-438-692,BR_102019014217_A2_20210119,BR,INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA PARAIBA,,INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA PARAIBA,
145-968-044-131-671,CN_111548065_A_20200818,,JIANGSU QIKUN CIRCULAR ECONOMY INDUSTRIAL TECH DEVELOPMENT CO LTD,,JIANGSU QIKUN CIRCULAR ECONOMY INDUSTRIAL TECH DEVELOPMENT CO LTD,
146-953-358-148-075,KR_101512337_B1_20150416,,중앙크리텍 주식회사,,중앙크리텍 주식회사,
147-272-763-577-001,EP_3228610_A1_20171011,FR,SECHE ECO IND,,SECHE ECO IND,
147-389-494-482-803,US_20190134851_A1_20190509,US,DIAMOND PRODUCTS LTD,,DIAMOND PRODUCTS LTD,
147-397-855-302-16X,US_20160053506_A1_20160225,US,KNUDSEN N ERIC,,KNUDSEN N ERIC,
147-743-279-235-18X,CN_114743605_A_20220712,,UNIV SHANDONG,,UNIV SHANDONG,
148-089-793-458-75X,TW_201400434_A_20140101,JP,NICHIHA KK,,NICHIHA KK,
148-108-030-802-04X,CN_113024214_B_20220902,,中冶南方都市环保工程技术股份有限公司,,中冶南方都市环保工程技术股份有限公司,
148-467-954-747-380,US_20210402539_A1_20211230,US,BARON INVEST LLC,,BARON INVEST LLC,
148-920-768-809-413,KR_20200113541_A_20201007,KR,JANG HYUN JIN,,JANG HYUN JIN,
149-411-606-049-547,US_20230047807_A1_20230216,US,NUTECH VENTURES,,NUTECH VENTURES,
149-530-471-494-177,US_9902832_B2_20180227,DE,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
149-534-295-998-103,CN_114507050_A_20220517,,HAINAN HUAHENG CONCRETE CO LTD,,HAINAN HUAHENG CONCRETE CO LTD,
150-100-452-493-22X,ES_2660590_T3_20180323,DE,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
150-240-486-484-190,KR_20220147907_A_20221104,KR,NH RECYTECH COMPANY,,NH RECYTECH COMPANY,
150-240-486-484-190,KR_20220147907_A_20221104,KR,HANNANUM IND CO LTD,,HANNANUM IND CO LTD,
150-481-844-945-629,CN_110092628_A_20190806,,SHANDONG HUAMEI BUILDING MAT CO LTD,,SHANDONG HUAMEI BUILDING MAT CO LTD,
150-551-629-027-535,KR_102421063_B1_20220715,,문지희,,문지희,
150-551-629-027-535,KR_102421063_B1_20220715,,최혜인,,최혜인,
151-109-431-441-604,RU_2018127731_A3_20200629,,,,,
151-127-662-523-016,KR_20130136154_A_20131212,KR,JEJU NAT UNIV IND ACADEMIC COOPERATION FOUNDATION,,JEJU NAT UNIV IND ACADEMIC COOPERATION FOUNDATION,
151-127-662-523-016,KR_20130136154_A_20131212,KR,SHIN SANG HYUB,,SHIN SANG HYUB,
151-127-662-523-016,KR_20130136154_A_20131212,KR,JO MI KYEONG,,JO MI KYEONG,
151-901-843-992-882,FR_3056930_A1_20180406,CH,HOLCIM TECHNOLOGY LTD,,HOLCIM TECHNOLOGY LTD,
152-618-939-385-721,US_8562736_B2_20131022,US,GILL IQBAL,,GILL IQBAL,
152-683-973-870-852,KR_20140000160_A_20140102,KR,KOREA INST SCI & TECH,,KOREA INST SCI & TECH,
152-813-952-637-034,CN_113442291_A_20210928,,UNIV ZHEJIANG,,UNIV ZHEJIANG,
152-813-952-637-034,CN_113442291_A_20210928,,SHENERGY ENVIRONMENTAL TECH CO LTD,,SHENERGY ENVIRONMENTAL TECH CO LTD,
153-619-698-209-313,RU_2745107_C1_20210319,RU,FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA NATSIONALNY,,FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA NATSIONALNY,
154-277-268-029-135,US_20150353831_A1_20151210,DE,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
154-536-090-452-860,CN_113800876_B_20220607,,北科蕴宏环保科技(北京)有限公司,,北科蕴宏环保科技(北京)有限公司,
154-536-090-452-860,CN_113800876_B_20220607,,山西蕴宏环境科技发展有限责任公司,,山西蕴宏环境科技发展有限责任公司,
154-881-844-396-795,KR_20130058489_A_20130604,KR,CHUNG HA YONG,,CHUNG HA YONG,
154-984-316-405-645,KR_101339373_B1_20131210,,,,,
155-564-524-151-753,CN_104295002_A_20150121,,UNIV SOUTH CHINA TECH,,UNIV SOUTH CHINA TECH,
155-828-096-939-697,KR_20130068371_A_20130626,KR,SAMSUNG C&T CORP,,SAMSUNG C&T CORP,
156-515-342-353-069,EP_3043874_B1_20220309,FI,GLOBAL ECOPROCESS SERVICES OY,,GLOBAL ECOPROCESS SERVICES OY,
156-898-579-528-059,JP_6788273_B2_20201125,,ラバファルト株式会社,,ラバファルト株式会社,
158-101-399-825-154,CN_107150061_A_20170912,,HENAN DIZHILYU ENVIRONMENTAL PROTECTION TECH CO LTD,,HENAN DIZHILYU ENVIRONMENTAL PROTECTION TECH CO LTD,
159-141-245-762-43X,CN_105859164_A_20160817,,NANJING TRIUMPH KAINENG ENV AND ENERGY CO LTD,,NANJING TRIUMPH KAINENG ENV AND ENERGY CO LTD,
159-708-546-979-661,WO_2022171786_A1_20220818,BE,UNIV GENT,,UNIV GENT,
160-287-720-097-465,US_9212463_B2_20151215,US,KNUDSEN N ERIC,,KNUDSEN N ERIC,
161-284-545-896-755,CN_111807731_B_20220830,,长沙紫宸科技开发有限公司,,长沙紫宸科技开发有限公司,
161-709-812-547-500,RU_2731776_C1_20200908,JP,TOSHIBA KK,,TOSHIBA KK,
161-876-614-776-167,US_10655280_B1_20200519,CN,INST GEOLOGY & GEOPHYSICS CAS,,INST GEOLOGY & GEOPHYSICS CAS,
161-959-332-969-896,KR_20220049080_A_20220421,KR,NAMPYEONGSANUP INC,,NAMPYEONGSANUP INC,
161-959-332-969-896,KR_20220049080_A_20220421,KR,KOO HYUN CHUL,,KOO HYUN CHUL,
162-650-917-059-389,CN_106977153_B_20190806,,中交第二航务工程局有限公司,,中交第二航务工程局有限公司,
162-650-917-059-389,CN_106977153_B_20190806,,中交武汉智行国际工程咨询有限公司,,中交武汉智行国际工程咨询有限公司,
162-650-917-059-389,CN_106977153_B_20190806,,中交武汉港湾工程设计研究院有限公司,,中交武汉港湾工程设计研究院有限公司,
162-817-080-976-442,EP_3653310_A1_20200520,ES,COSENTINO RES & DEVELOPMENT S L,,COSENTINO RES & DEVELOPMENT S L,
163-149-975-671-40X,US_9546496_B2_20170117,US,KNUDSEN N ERIC,,KNUDSEN N ERIC,
163-538-934-331-395,US_20220001577_A1_20220106,IL,SELIVANSKY DROR,,SELIVANSKY DROR,
163-567-720-872-105,WO_2015076680_A1_20150528,NO,BASAL AS,,BASAL AS,
163-628-171-686-452,CN_108298781_B_20210514,,中冶华天工程技术有限公司,,中冶华天工程技术有限公司,
163-628-171-686-452,CN_108298781_B_20210514,,中冶华天南京工程技术有限公司,,中冶华天南京工程技术有限公司,
163-628-171-686-452,CN_108298781_B_20210514,,中冶华天（安徽）节能环保研究院有限公司,,中冶华天（安徽）节能环保研究院有限公司,
165-187-006-585-801,CN_115286320_A_20221104,,UNIV HUNAN SCIENCE & TECHNOLOGY,,UNIV HUNAN SCIENCE & TECHNOLOGY,
165-265-280-123-483,US_20150353830_A1_20151210,DE,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
165-470-185-178-606,WO_2016024863_A1_20160218,NL,IHC HOLLAND IE BV,,IHC HOLLAND IE BV,
165-595-897-199-068,US_20190112231_A1_20190418,CA,VOKES EVAN DANIEL,,VOKES EVAN DANIEL,
165-728-497-618-848,CN_112759292_B_20230321,,中国石油化工股份有限公司,,中国石油化工股份有限公司,
165-728-497-618-848,CN_112759292_B_20230321,,中国石化催化剂有限公司,,中国石化催化剂有限公司,
165-939-886-244-202,CN_113636823_B_20220826,,内蒙古科技大学,,内蒙古科技大学,
165-939-886-244-202,CN_113636823_B_20220826,,辽宁工程技术大学,,辽宁工程技术大学,
165-939-886-244-202,CN_113636823_B_20220826,,国家能源集团煤焦化有限责任公司,,国家能源集团煤焦化有限责任公司,
167-990-165-328-840,US_20190071354_A1_20190307,US,ROMAN CEMENT LLC,,ROMAN CEMENT LLC,
168-142-857-812-662,WO_2022104469_A1_20220527,CA,SOCPRA SCIENCES ET GENIE SEC,,SOCPRA SCIENCES ET GENIE SEC,
169-049-366-287-63X,US_20130341815_A1_20131226,MX,VITE TORRES JAIME,,VITE TORRES JAIME,
169-049-366-287-63X,US_20130341815_A1_20131226,MX,INST NAC DE INVESTIGACIONS NUCLEARES,,INST NAC DE INVESTIGACIONS NUCLEARES,
170-136-253-119-542,US_20140041552_A1_20140213,US,GILL IQBAL,,GILL IQBAL,
170-459-184-138-315,AU_2017402088_A1_20190912,DE,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
170-817-705-868-952,AU_2015380500_B2_20190228,US,HALLIBURTON ENERGY SERVICES INC,,HALLIBURTON ENERGY SERVICES INC,
171-294-947-958-471,AU_2013246051_A1_20141106,US,BIRDWELL STEVEN,,BIRDWELL STEVEN,
171-294-947-958-471,AU_2013246051_A1_20141106,US,SKODA CHARLES,,SKODA CHARLES,
171-383-714-665-429,CA_2663806_C_20150127,KR,CHO DAI YOUN,,CHO DAI YOUN,
171-394-864-822-657,EP_3673001_B1_20220427,CH,SIKA TECH AG,,SIKA TECH AG,
171-768-790-101-323,ES_2528092_A1_20150203,ES,GREEN ROCK SL,,GREEN ROCK SL,
171-768-790-101-323,ES_2528092_A1_20150203,ES,ALETHEA PARK S L,,ALETHEA PARK S L,
171-800-511-164-100,CN_113173747_A_20210727,,LIXIN COUNTY RUJI TOWN NANYANG WALL MAT CO LTD,,LIXIN COUNTY RUJI TOWN NANYANG WALL MAT CO LTD,
172-500-472-272-038,CN_113024162_A_20210625,,UNIV TONGJI,,UNIV TONGJI,
173-379-927-197-789,AU_2021329443_A1_20230413,,KI STRATEGIES PTY LTD,,KI STRATEGIES PTY LTD,
174-421-249-269-183,US_9073786_B2_20150707,US,STRATTON STANLEY G,,STRATTON STANLEY G,
174-421-249-269-183,US_9073786_B2_20150707,US,ARNOLD PHILLIP J,,ARNOLD PHILLIP J,
174-421-249-269-183,US_9073786_B2_20150707,US,CRAWFORD JAMES K,,CRAWFORD JAMES K,
174-421-249-269-183,US_9073786_B2_20150707,US,DHALIWAL PRITAM S,,DHALIWAL PRITAM S,
174-421-249-269-183,US_9073786_B2_20150707,US,WILD MARTIN ELLIS,,WILD MARTIN ELLIS,
174-421-249-269-183,US_9073786_B2_20150707,US,L M SCOFIELD COMPANY,,L M SCOFIELD COMPANY,
175-760-997-001-919,US_10525513_B2_20200107,US,WILDFIRE CONSTRUCTION LLC,,WILDFIRE CONSTRUCTION LLC,
175-760-997-001-919,US_10525513_B2_20200107,US,KAUTZMAN KEITH,,KAUTZMAN KEITH,
175-767-722-658-016,US_20230112087_A1_20230413,US,CARBONQUEST INC,,CARBONQUEST INC,
176-252-748-797-616,US_20160319136_A1_20161103,AU,SKUDO GROUP PTY LTD,,SKUDO GROUP PTY LTD,
176-529-724-666-450,WO_2016072622_A3_20170427,KR,SMTECH CO LTD,,SMTECH CO LTD,
176-529-724-666-450,WO_2016072622_A3_20170427,KR,DAE DONG CHEM TECH CO LTD,,DAE DONG CHEM TECH CO LTD,
176-529-724-666-450,WO_2016072622_A3_20170427,KR,KUNSAN UNIV CONSTRUCTION MAT R&D COOP,,KUNSAN UNIV CONSTRUCTION MAT R&D COOP,
177-017-275-412-726,WO_2022233039_A1_20221110,CN,UNIV DEZHOU,,UNIV DEZHOU,
179-154-917-619-416,BR_102020025921_B1_20220315,BR,SAMARCO MINERACAO SA,,SAMARCO MINERACAO SA,
179-226-496-068-707,CN_113800875_A_20211217,,UNIV TONGJI,,UNIV TONGJI,
179-241-936-574-300,EP_3352920_B1_20221109,MT,BLACKASBESTOS LTD,,BLACKASBESTOS LTD,
179-456-007-346-969,US_10655355_B2_20200519,US,KNUDSEN N ERIC,,KNUDSEN N ERIC,
180-066-847-981-115,EP_3180171_B8_20211124,NL,URBAN MINE LICENTIES B V,,URBAN MINE LICENTIES B V,
180-831-732-138-158,EP_3487829_A1_20190529,PL,SYNTHOS SA,,SYNTHOS SA,
180-879-202-658-757,KR_20220160767_A_20221206,KR,PARK KWI DONG,,PARK KWI DONG,
180-879-202-658-757,KR_20220160767_A_20221206,KR,LEE KI CHANG,,LEE KI CHANG,
181-434-132-800-950,KR_20220111501_A_20220809,KR,INNOCSR CO LTD,,INNOCSR CO LTD,
181-436-023-587-213,KR_101450750_B1_20141016,,,,,
182-041-974-416-655,CN_113831095_A_20211224,,UNIV TONGJI,,UNIV TONGJI,
182-873-773-199-545,KR_20190135093_A_20191206,KR,LEE YOUNG SUN,,LEE YOUNG SUN,
183-020-055-022-034,WO_2018058139_A1_20180329,US,SOLIDIA TECHNOLOGIES INC,,SOLIDIA TECHNOLOGIES INC,
183-173-232-700-914,RU_2603316_C1_20161127,RU,FED GOSUDARSTVENNOE BJUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO PROFESSIONALNOGO OBRAZOVANIJA V,"600000, g. Vladimir, ul. Gorkogo, 87, VlGU, patentnaja gruppa",FED GOSUDARSTVENNOE BJUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO PROFESSIONALNOGO OBRAZOVANIJA V,
183-777-585-881-754,KR_101558747_B1_20151008,,공주대학교 산학협력단,,공주대학교 산학협력단,
184-312-685-365-665,KR_101324548_B1_20131101,,,,,
185-017-827-812-657,WO_2020039370_A1_20200227,US,UNIV AMERICA CATHOLIC,,UNIV AMERICA CATHOLIC,
185-083-466-705-199,CN_107963866_A_20180427,,ZHANG MINGTAI,,ZHANG MINGTAI,
185-083-466-705-199,CN_107963866_A_20180427,,LIU YANG,,LIU YANG,
186-397-482-298-456,ES_2851383_A1_20210906,ES,UNIV JAEN,,UNIV JAEN,
190-619-199-654-879,DK_3487829_T3_20211101,PL,SYNTHOS DWORY 7 SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPOLKA JAWNA,"Ul. Chemikow 1, 32-600 Oswiecim PL",SYNTHOS DWORY 7 SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPOLKA JAWNA,
190-780-294-514-429,CN_111646773_A_20200911,,HUAIYIN INST TECHNOLOGY,,HUAIYIN INST TECHNOLOGY,
190-860-934-843-459,CN_108602721_A_20180928,,FLUORCHEMIE GMBH FRANKFURT,,FLUORCHEMIE GMBH FRANKFURT,
191-421-767-413-962,CN_108503386_A_20180907,,BEIJING BUILDING MATERIALS ACADEMY SCIENCES RES,,BEIJING BUILDING MATERIALS ACADEMY SCIENCES RES,
